Answer,RT,StimulusOr,Trial_type,DistractorOr,Block
56,2.04318139998941,60,0,0,3
43,3.09844370000064,50,50,-5,3
8,1.82565889999387,9,100,-15,3
80,2.25733039999614,83,0,0,3
170,2.51249069999903,162,100,15,3
143,4.16706880001584,124,100,30,3
38,2.93506170000182,29,0,0,3
82,4.09434689997579,84,100,-5,3
84,3.90986610000255,76,100,-15,3
111,3.22915850000572,108,0,0,3
111,3.15569739998318,115,100,-5,3
67,3.76314870000351,72,100,-5,3
76,2.20231560000684,78,50,-5,3
175,3.61786209998536,169,0,0,3
14,1.38549270000658,18,0,0,3
56,3.5921784999955,45,100,30,3
159,3.69556210000883,163,100,-15,3
105,3.41500149999047,104,0,0,3
139,3.6223024999781,156,50,0,3
163,2.34131210000487,156,0,0,3
108,2.63636129998486,115,50,-30,3
155,2.13143059998401,156,50,-15,3
157,4.19476569999824,149,50,-30,3
79,3.15453140001046,74,100,5,3
63,1.9778149999911,53,0,0,3
106,2.00838649997604,108,0,0,3
163,1.30353269999614,158,0,0,3
169,2.67130469999393,174,0,0,3
154,2.5029988999886,147,100,15,3
41,1.70949080001446,45,100,-15,3
160,3.76472600002307,159,100,30,3
175,2.8598226000031,163,50,30,3
NaN,NaN,51,50,0,3
141,2.72300440000254,134,100,-15,3
15,2.55328970000846,9,100,-15,3
128,3.17696449998766,132,50,0,3
43,2.10459950001677,50,0,0,3
96,1.67196539998986,97,100,-30,3
156,1.98288169997977,155,50,-15,3
14,2.22192020001239,13,50,-15,3
55,3.14138580000144,48,100,-30,3
163,2.72476620000089,162,50,15,3
161,3.09228430001531,162,0,0,3
107,2.73136980002164,111,0,0,3
169,2.70624030000181,172,50,0,3
141,3.61754690000089,133,0,0,3
46,3.28042090000235,49,0,0,3
175,3.7604673000169,175,100,-5,3
87,2.86383560000104,83,0,0,3
49,2.59820469998522,42,50,0,3
40,1.84548690001247,23,0,0,3
83,3.10927270000684,84,50,30,3
170,1.50829999998678,170,50,15,3
173,2.31545230001211,171,100,-15,3
157,2.36248339997837,149,100,5,3
41,1.96146710001631,25,0,0,3
140,2.48948469999596,139,100,15,3
143,2.88927759998478,147,100,15,3
126,2.92833510000492,117,50,-5,3
102,3.47058449999895,102,100,-15,3
14,2.61408420000225,14,100,-5,3
156,2.80569519998971,156,0,0,3
38,2.89249209998525,27,50,0,3
120,2.37222649998148,113,50,0,3
102,1.75501030002488,100,0,0,3
83,2.2660681999987,81,0,0,3
52,3.14567230001558,36,100,30,3
21,3.76896919999854,16,50,-15,3
165,3.20845160001772,152,0,0,3
58,2.50312090001535,47,0,0,3
73,2.4143325999903,66,100,15,3
27,2.02981599999475,31,100,-5,3
136,2.95751989999553,120,100,5,3
160,2.08445669998764,162,100,15,3
142,2.80367170000682,129,100,30,3
81,3.64289970000391,69,0,0,3
110,2.38582749999478,117,50,0,3
127,2.20116450000205,121,50,-5,3
62,2.20063100001425,58,50,0,3
129,1.68781420000596,138,0,0,3
153,3.15883729999769,149,0,0,3
55,1.7984509000089,45,100,30,3
164,2.73355130001437,161,50,0,3
72,1.38107370000216,65,50,0,3
8,2.83590819998062,11,0,0,3
25,2.6108186999918,33,100,5,3
70,1.86655710000196,66,0,0,3
19,2.7859865000064,19,0,0,3
137,1.98494640001445,128,0,0,3
12,2.18403479998233,9,50,0,3
21,2.80720770001062,27,100,30,3
85,2.09511640001438,83,0,0,3
103,2.39842459998908,100,100,15,3
263,2.6679540000041,80,100,30,4
160,2.41125079998164,137,0,0,4
26,2.25778339998215,36,100,-15,4
106,2.07322250001016,113,0,0,4
113,2.13639649999095,119,100,-5,4
103,3.53651370000443,104,0,0,4
167,1.45581360001233,168,50,0,4
77,2.78226920001907,72,100,-5,4
139,2.8619294000091,126,0,0,4
161,1.98898500000359,149,100,5,4
153,1.77205849997699,141,50,0,4
112,1.49972000002163,111,100,-30,4
26,1.6105817000207,32,50,-30,4
156,2.36200860000099,153,50,30,4
60,2.0731545999879,56,0,0,4
14,1.83292719998281,13,50,0,4
105,1.87218959999154,114,50,-15,4
59,2.23118640002212,65,0,0,4
103,2.93420200000401,99,50,0,4
151,2.76584470001399,144,100,-5,4
96,2.5012762999977,97,100,-30,4
47,2.612455399998,69,100,-30,4
175,3.7472337000072,173,50,0,4
139,4.13074680001591,113,50,30,4
175,2.4183425999945,173,50,-30,4
76,2.6335359000077,73,50,15,4
27,2.72011009999551,40,0,0,4
140,3.70341760001611,128,0,0,4
146,1.50296990000061,136,100,15,4
118,2.23039289997541,114,50,0,4
83,1.84603509999579,85,50,-15,4
78,3.15610849999939,72,100,-30,4
160,1.89958830000251,138,0,0,4
51,1.36289980000583,60,50,-5,4
13,1.56270419998327,14,100,15,4
117,2.47393659999943,129,0,0,4
166,2.15282720001414,159,100,-5,4
66,1.77638689999003,68,50,0,4
168,1.95977919999859,165,50,5,4
165,2.42290770000545,162,0,0,4
18,2.84589419999975,14,100,-5,4
30,3.8449152999965,36,50,-15,4
111,3.94030940000084,115,100,15,4
111,2.18004959999234,105,0,0,4
170,3.33899859999656,171,0,0,4
28,3.93065709999064,28,50,-15,4
51,2.52957439998863,53,0,0,4
31,3.04840999998851,28,0,0,4
163,2.2161630000046,161,100,5,4
6,2.39125349998358,8,50,0,4
31,1.83044730001711,27,100,30,4
87,1.18135840000468,80,50,15,4
135,1.56485650001559,126,0,0,4
174,3.02814499998931,175,50,-5,4
157,2.28386259998661,156,0,0,4
71,3.9392406999832,68,0,0,4
164,3.72155699998257,169,50,-30,4
82,2.84141229998204,74,0,0,4
77,3.06434250000166,73,50,0,4
19,3.07200329998159,25,100,-30,4
72,2.39883270001155,71,0,0,4
32,1.84586099997978,22,50,0,4
167,3.81360510000377,171,0,0,4
141,3.70035950001329,142,50,0,4
36,3.69982070001424,43,0,0,4
158,2.57177110001794,162,0,0,4
107,2.50612189999083,109,0,0,4
136,2.7614551000006,123,100,5,4
78,2.31298889999744,74,100,5,4
166,4.29624700002023,163,100,5,4
156,2.64764260000084,156,0,0,4
65,3.37413159999414,47,50,0,4
29,2.96562740000081,34,0,0,4
149,2.98904570000013,142,50,15,4
78,1.99657210000441,75,0,0,4
NaN,NaN,108,100,5,4
16,2.10648909999873,12,100,-5,4
10,3.0017032000178,9,0,0,4
87,2.41768470001989,81,0,0,4
86,2.4567913999781,85,50,0,4
148,1.9517760000017,152,100,-15,4
171,1.92656559997704,169,0,0,4
151,2.4542964999855,152,0,0,4
27,1.71791129998746,8,50,0,4
60,2.19724710000446,60,100,-15,4
164,2.25963719998254,155,100,-30,4
115,3.58687509997981,128,50,0,4
77,2.5624868000159,74,0,0,4
69,3.93778939999174,72,50,0,4
146,1.20135749998735,143,100,-15,4
98,2.72879940000712,97,0,0,4
126,2.31916459999047,126,0,0,4
72,2.95073419998516,61,100,15,4
13,1.52581970000756,19,0,0,4
85,2.01347450001049,84,100,-5,4
